"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","antigen processing and presentation","GO:0019882","0.00011059561998189148","3.9562620724468927","234","146","11","18092","ENSG00000019582,ENSG00000204592,ENSG00000100911,ENSG00000196126,ENSG00000240065,ENSG00000179344,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000168394,ENSG00000089692"
"GO:BP","antigen processing and presentation of peptide antigen","GO:0048002","0.00012568123720709524","3.900729552748718","192","146","10","18092","ENSG00000019582,ENSG00000204592,ENSG00000100911,ENSG00000196126,ENSG00000240065,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000168394,ENSG00000089692"
"GO:BP","regulation of interferon-alpha production","GO:0032647","0.00013230384954082642","3.8784275193044375","30","146","5","18092","ENSG00000115415,ENSG00000185507,ENSG00000107201,ENSG00000115267,ENSG00000123609"
"GO:BP","positive regulation of defense response to virus by host","GO:0002230","0.00015511004690214604","3.8093600708334145","31","146","5","18092","ENSG00000115415,ENSG00000107201,ENSG00000138496,ENSG00000163840,ENSG00000140464"
"GO:BP","I-kappaB kinase/NF-kappaB signaling","GO:0007249","0.00015547224007349955","3.8083471439949887","293","146","12","18092","ENSG00000121858,ENSG00000130303,ENSG00000019582,ENSG00000115415,ENSG00000132274,ENSG00000196126,ENSG00000123240,ENSG00000164054,ENSG00000100906,ENSG00000006210,ENSG00000152778,ENSG00000112343"
"GO:BP","cell death","GO:0008219","0.00015989727190811822","3.79615894591829","2322","146","39","18092","ENSG00000126709,ENSG00000165949,ENSG00000157601,ENSG00000121858,ENSG00000119917,ENSG00000110492,ENSG00000019582,ENSG00000119922,ENSG00000176046,ENSG00000115415,ENSG00000132530,ENSG00000188313,ENSG00000185507,ENSG00000171401,ENSG00000198712,ENSG00000170345,ENSG00000189060,ENSG00000078081,ENSG00000055332,ENSG00000108244,ENSG00000160710,ENSG00000177606,ENSG00000205420,ENSG00000067066,ENSG00000133710,ENSG00000123240,ENSG00000164054,ENSG00000186081,ENSG00000004468,ENSG00000100906,ENSG00000175197,ENSG00000136235,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000087074,ENSG00000124256,ENSG00000140464,ENSG00000120129"
"GO:BP","mitochondrial electron transport, NADH to ubiquinone","GO:0006120","0.00019043437602742224","3.7202546527400724","56","146","6","18092","ENSG00000198786,ENSG00000198695,ENSG00000212907,ENSG00000198763,ENSG00000198888,ENSG00000198886"
"GO:BP","regulation of I-kappaB kinase/NF-kappaB signaling","GO:0043122","0.0002171554232841462","3.6632293200067148","253","146","11","18092","ENSG00000121858,ENSG00000130303,ENSG00000019582,ENSG00000115415,ENSG00000132274,ENSG00000196126,ENSG00000123240,ENSG00000164054,ENSG00000006210,ENSG00000152778,ENSG00000112343"
"GO:BP","interferon-alpha production","GO:0032607","0.00023690588483148728","3.625424151104594","34","146","5","18092","ENSG00000115415,ENSG00000185507,ENSG00000107201,ENSG00000115267,ENSG00000123609"
"GO:BP","regulation of type I interferon-mediated signaling pathway","GO:0060338","0.00027193609793002343","3.565533138527809","35","146","5","18092","ENSG00000185507,ENSG00000160710,ENSG00000184979,ENSG00000101347,ENSG00000124256"
"GO:BP","negative regulation of metabolic process","GO:0009892","0.00028443417025167324","3.5460182312182247","3539","146","51","18092","ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000130303,ENSG00000176046,ENSG00000115415,ENSG00000173193,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000156587,ENSG00000125730,ENSG00000057149,ENSG00000107201,ENSG00000140105,ENSG00000196126,ENSG00000189060,ENSG00000115267,ENSG00000078081,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000160710,ENSG00000177606,ENSG00000067066,ENSG00000124201,ENSG00000133710,ENSG00000180573,ENSG00000010030,ENSG00000123240,ENSG00000130813,ENSG00000117228,ENSG00000169429,ENSG00000004468,ENSG00000175197,ENSG00000101596,ENSG00000136235,ENSG00000163840,ENSG00000138035,ENSG00000125740,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000087074,ENSG00000089692,ENSG00000152518,ENSG00000140464,ENSG00000120129,ENSG00000130589"
"GO:BP","ISG15-protein conjugation","GO:0032020","0.0003161766853395964","3.5000701578120097","6","146","3","18092","ENSG00000187608,ENSG00000156587,ENSG00000138646"
"GO:BP","negative regulation of innate immune response","GO:0045824","0.00035892573957226325","3.4449953960736472","63","146","6","18092","ENSG00000204592,ENSG00000173193,ENSG00000149131,ENSG00000160710,ENSG00000101347,ENSG00000123609"
"GO:BP","signaling","GO:0023052","0.0003640364051325475","3.4388551829509657","6864","146","81","18092","ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000121858,ENSG00000119917,ENSG00000130303,ENSG00000110492,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000176046,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000108679,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000173821,ENSG00000025708,ENSG00000057149,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000055332,ENSG00000240065,ENSG00000138496,ENSG00000137628,ENSG00000140279,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000123240,ENSG00000164054,ENSG00000117228,ENSG00000169429,ENSG00000004468,ENSG00000173432,ENSG00000100906,ENSG00000196684,ENSG00000175197,ENSG00000136235,ENSG00000163840,ENSG00000143546,ENSG00000102524,ENSG00000006210,ENSG00000123609,ENSG00000087074,ENSG00000089692,ENSG00000152778,ENSG00000152518,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000120129,ENSG00000173702,ENSG00000112343"
"GO:BP","cell communication","GO:0007154","0.00040358875507317935","3.394060942726756","6882","146","81","18092","ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000121858,ENSG00000119917,ENSG00000130303,ENSG00000110492,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000176046,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000108679,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000173821,ENSG00000025708,ENSG00000057149,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000055332,ENSG00000240065,ENSG00000138496,ENSG00000137628,ENSG00000140279,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000123240,ENSG00000164054,ENSG00000117228,ENSG00000169429,ENSG00000004468,ENSG00000173432,ENSG00000100906,ENSG00000196684,ENSG00000175197,ENSG00000136235,ENSG00000163840,ENSG00000143546,ENSG00000102524,ENSG00000006210,ENSG00000123609,ENSG00000087074,ENSG00000089692,ENSG00000152778,ENSG00000152518,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000120129,ENSG00000173702,ENSG00000112343"
"GO:BP","response to cAMP","GO:0051591","0.00040703287292031144","3.3903705147271705","97","146","7","18092","ENSG00000115415,ENSG00000170345,ENSG00000140279,ENSG00000177606,ENSG00000138035,ENSG00000125740,ENSG00000120129"
"GO:BP","cellular response to virus","GO:0098586","0.0004947319535902963","3.305630038655866","67","146","6","18092","ENSG00000126709,ENSG00000185507,ENSG00000107201,ENSG00000115267,ENSG00000137628,ENSG00000160710"
